,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
250,Haris Belkebla,dz ALG,MF,Brest,fr Ligue 1,27,1994,25.7,0,4,1,25.0,0.16,0.04,0.00,0.00,24.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,2b1bed19
251,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,29,1991,31.8,2,22,5,22.7,0.69,0.16,0.09,0.40,10.2,0,0,0,1.7,1.7,0.08,+0.3,+0.3,Matches,857a5abe
252,Armel Bella Kotchap,de GER,DF,Bochum,de Bundesliga,19,2001,19.6,0,10,3,30.0,0.51,0.15,0.00,0.00,16.4,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,a39d11bc
253,Raoul Bellanova,it ITA,DFFW,Cagliari,it Serie A,21,2000,27.7,1,23,5,21.7,0.83,0.18,0.04,0.20,15.3,0,0,0,1.7,1.7,0.08,-0.7,-0.7,Matches,e3756e72
254,Karim Bellarabi,de GER,FWMF,Leverkusen,de Bundesliga,31,1990,7.6,3,28,11,39.3,3.69,1.45,0.11,0.27,17.4,0,0,0,2.0,2.0,0.07,+1.0,+1.0,Matches,bee0bab1
255,Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,fr Ligue 1,23,1998,25.9,2,31,7,22.6,1.20,0.27,0.06,0.29,20.8,2,0,0,1.9,1.9,0.06,+0.1,+0.1,Matches,10f0fdd3
256,Héctor Bellerín,es ESP,DF,Betis,es La Liga,26,1995,22.0,0,10,2,20.0,0.45,0.09,0.00,0.00,21.0,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,f874dd44
257,Jude Bellingham,eng ENG,MF,Dortmund,de Bundesliga,18,2003,31.0,3,44,12,27.3,1.42,0.39,0.07,0.25,18.1,0,0,0,4.8,4.8,0.11,-1.8,-1.8,Matches,57d88cf9
258,George Bello,us USA,DF,Arminia,de Bundesliga,19,2002,4.8,0,3,0,0.0,0.62,0.00,0.00,,24.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,aca0a525
259,Jeanöel Belocian,fr FRA,DF,Rennes,fr Ligue 1,16,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c678ddd7
260,Andrea Belotti,it ITA,FW,Torino,it Serie A,27,1993,15.2,8,55,17,30.9,3.61,1.12,0.09,0.29,15.5,3,3,3,7.9,5.6,0.10,+0.1,-0.6,Matches,d705ba44
261,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,22,1999,28.9,1,20,4,20.0,0.69,0.14,0.05,0.25,29.2,0,0,0,0.4,0.4,0.02,+0.6,+0.6,Matches,ed5c5fa3
262,Hatem Ben Arfa,fr FRA,FWMF,Lille,fr Ligue 1,34,1987,3.5,0,3,1,33.3,0.86,0.29,0.00,0.00,16.6,1,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,74dc806c
263,Salim Ben Seghir,fr FRA,MF,Marseille,fr Ligue 1,18,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1f6298f2
264,Wissam Ben Yedder,fr FRA,FW,Monaco,fr Ligue 1,30,1990,28.1,25,64,36,56.3,2.28,1.28,0.27,0.47,14.7,4,8,8,18.0,11.7,0.18,+7.0,+5.3,Matches,942b4f90
265,Marco Benassi,it ITA,DFMF,Fiorentina,it Serie A,26,1994,1.8,0,3,0,0.0,1.71,0.00,0.00,,21.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,0000acda
266,Marco Benassi,it ITA,MF,Empoli,it Serie A,26,1994,4.2,0,7,3,42.9,1.65,0.71,0.00,0.00,18.3,0,0,0,0.9,0.9,0.13,-0.9,-0.9,Matches,0000acda
267,Darío Benedetto,ar ARG,FWMF,Elche,es La Liga,31,1990,6.6,2,18,6,33.3,2.75,0.92,0.11,0.33,21.3,0,0,0,2.0,2.0,0.11,0.0,0.0,Matches,bef0a7ac
268,Darío Benedetto,ar ARG,FWMF,Marseille,fr Ligue 1,31,1990,0.6,0,3,0,0.0,5.00,0.00,0.00,,12.7,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,bef0a7ac
269,László Bénes,sk SVK,MF,M'Gladbach,de Bundesliga,23,1997,2.7,0,7,5,71.4,2.56,1.83,0.00,0.00,22.6,2,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches,fe888e39
270,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,28,1993,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8a2248b4
271,Iker Benito,es ESP,FWMF,Osasuna,es La Liga,18,2002,1.3,0,3,1,33.3,2.29,0.76,0.00,0.00,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,50cbc806
272,Loris Benito,ch SUI,DF,Bordeaux,fr Ligue 1,29,1992,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f5b6fb78
273,Pedro Benito,es ESP,FW,Cádiz,es La Liga,21,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a7416105
274,Filip Benković,hr CRO,DFFW,Udinese,it Serie A,24,1997,0.1,0,1,1,100.0,11.25,11.25,0.00,0.00,9.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,305a3820
275,Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,23,1997,16.9,2,16,6,37.5,0.94,0.35,0.13,0.33,23.9,2,0,0,0.7,0.7,0.04,+1.3,+1.3,Matches,db092d3b
276,Keanan Bennetts,eng ENG,FWDF,M'Gladbach,de Bundesliga,22,1999,0.6,0,1,0,0.0,1.80,0.00,0.00,,19.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,f4c7c708
277,Saïd Benrahma,dz ALG,FWMF,West Ham,eng Premier League,25,1995,24.1,8,63,20,31.7,2.62,0.83,0.13,0.40,19.6,3,0,0,4.8,4.8,0.08,+3.2,+3.2,Matches,5a04fd92
278,Ramy Bensebaini,dz ALG,DF,M'Gladbach,de Bundesliga,26,1995,22.4,4,28,7,25.0,1.25,0.31,0.07,0.29,17.4,1,2,2,3.7,2.1,0.07,+0.3,-0.1,Matches,378825c7
279,Nabil Bentaleb,dz ALG,MF,Angers,fr Ligue 1,26,1994,16.8,1,15,7,46.7,0.89,0.42,0.07,0.14,22.9,1,0,0,0.6,0.6,0.04,+0.4,+0.4,Matches,3189f61a
280,Rodrigo Bentancur,uy URU,MF,Tottenham,eng Premier League,24,1997,15.1,0,14,2,14.3,0.93,0.13,0.00,0.00,19.5,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches,3b8674e6
281,Rodrigo Bentancur,uy URU,MF,Juventus,it Serie A,24,1997,12.8,0,8,1,12.5,0.62,0.08,0.00,0.00,22.9,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches,3b8674e6
282,Christian Benteke,be BEL,FW,Crystal Palace,eng Premier League,30,1990,12.7,4,39,13,33.3,3.07,1.02,0.10,0.31,12.5,0,0,0,4.9,4.9,0.13,-0.9,-0.9,Matches,ab070c55
283,Karim Benzema,fr FRA,FW,Real Madrid,es La Liga,33,1987,28.8,27,117,48,41.0,4.06,1.67,0.17,0.42,16.2,3,7,11,23.7,15.1,0.13,+3.3,+4.9,Matches,70d74ece
284,Alessandro Berardi,it ITA,GK,Hellas Verona,it Serie A,30,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ec1f737d
285,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,26,1994,31.3,15,104,40,38.5,3.32,1.28,0.09,0.23,21.6,8,6,6,11.3,6.5,0.06,+3.7,+2.5,Matches,53a0e358
286,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,31,1990,11.3,1,8,3,37.5,0.71,0.27,0.13,0.33,20.2,1,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches,b6e50615
287,Álex Berenguer,es ESP,MF,Athletic Club,es La Liga,26,1995,24.1,3,45,14,31.1,1.87,0.58,0.07,0.21,18.0,1,0,1,5.2,4.5,0.10,-2.2,-1.5,Matches,dc1c2fce
288,Bartosz Bereszyński,pl POL,DF,Sampdoria,it Serie A,29,1992,32.7,0,6,0,0.0,0.18,0.00,0.00,,14.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches,61b3978f
289,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,eng Premier League,30,1990,12.2,0,19,5,26.3,1.55,0.41,0.00,0.00,19.9,2,0,0,1.6,1.6,0.08,-1.6,-1.6,Matches,f72293fc
